Essays,Grammar,Lexical,Global Organization,Local Organization,Supporting Ideas,Holistic
"The human rights is one of the most popular topic in morden world.In my opinion, the most important human rights are freedom and equal rights.
Everyone in the world is equal.They should get the same treatments and get the same legual protection.And another important right is freedom.Everyone in the world is independent.They do not belong to anyone or anything.
With the increassing of population.There are many problems come up.
Food is the first.It needs to increase the planting area. land resources will be threatened.Housing is second, the housing area increased, a large number of developers will land. In addition, investment in all areas of the country will increase, such as the establishment of schools, hospitals.but also for some poor areas to donate money, people's employment will become even more difficult. More people, garbage will increase, it is self-evident that environmental pollution will increase, coupled with people breathe out of carbon dioxide increased, the global temperature rise. In addition, the construction of factories increased, emissions of waste water, waste water and so on have also increased, so that all aspects together, the environmental problems are very serious. There will be incalculable impacts and losses on the country's development and the world.
",2,3,2.5,2.5,2.5,2
"With the development of our city, human right is talked by everyone of us more and more often, and for the city, two kids allowed to be born, is another stone throw into the lake, and that means the number of people will get a new chance to up to a amazing point, by the way, can we ask us a simple question: what are we going to sacrifice again to tell what's right or what's wrong with us. we only see high speed grow up of our city, but we never see the cut down tree, the populated watered, we can not put up a banner on a lonely tree surrounded by stumps, the go up number of people will lead to many problem, which many person think is the outstanding of human right. It's not what we say but what we that matters, we can't bring the whole world into mad then thinking what we could do to save it.",2,3.5,3.5,3.5,4,2.5
"My name is mike. I have a sister who is facing the most important test in she's life. Of course, we walk in our life together and help each other every time when one needs help.When I see this test about that discuss the idea considering basic human rights and the danger of population explosion. I had a my unique idea that I think that our contry a government shouldn't be allowed to limit the number of children a family can have. I had a good dream that I get my graduation certificate last night. When I graduated from the USTB UNIVERSITY I am a genuine man. I am a prestigious man at my hometown. But I have no work and my family hope I have a secure work. In consequence of that,
I am going to find my woke which I think it is prospecting. But after I have tried some way. I failed because my characteristics identify always appealing me to be genuine and I show some short in public. I want to make my assignment. I had a try my best but nothing in return. I make up my mind to change own identify. After ten years from that time,
I find my first work that cleans street in town. When that time I come back to my bed with a smile. After this dream. I change my thought that a government should be allowed to limit the number of children a family can have. Because if our country can do it perfically, all of us will get a work but not always hungry because of too many people in our pleace.",4.5,5,4,3.5,3,3
"With the release of the law that permit a family to have two children, opinion concerning this hot topic varies from person to person. Plenty of people hold the view that agovernment should not be allowed to limit the number of children a family can have.They think the law is a disrespect of the basic human rights, but other people disagree them.
In my view, I hold the belief that a government are allowed to limit the number of children a family can have.There are my reasons.
above all, the resource in the world is limited. If we don not control the population, our posterity may get into trouble of the resource scaricity easily.Then, the operating post in our country is also limited.More person we have, more stress we will undertake.
",4.5,4,5.5,5.5,5.5,4
"First, I have to admit that the problem between basic human rights and the danger of population explosion is a complex question. Though I can't give the right answer, I want to express my own view about the issue as a student now.
If we want to know the problem in depth, we could pay our attention to Europe. The public of Europe have to face the situation now, because of the refugees. And we know their answers, they will not be equal human rights anymore if the population explosion has happened, and it is also my answer too.
No one could solve the problem now, even if the democratic and rich countries like Europe's countries. Because there is not enough living room for everyone on earth, such as food water and the opportunity to work. And it is an unavoidable problem when the population explosion appears.
Of course, turn back and look at our country, China. We have carried out the family planning a few years ago, it is the way to control the population to protect our basic human rights. So far, we know it is effective, and I'm very thankful that I have my own basic human rights now.
",6,6.5,6.5,6,6,4
"Population explosion is one of the most serious problems in the world. Therefore a rule was promulgated to limit the number of children a family can have.
In my opinion,it obeys basic human rights,some people really like children and they have financial to bring them up. They should have as many children as they like.
Besides,only one child in a family causes some problems.The children always feel lonely,meanwhile parents often give them too much love,which lead them have some bad habits,just like selfish.
Some people think population explosion bring some problems.It may increase the earth burden,we need more food to feed people,we need more water,more resources.However,I believe people have enough able to solve those problems.
Considering the future of our children,limit the number of children is unwise.
",5.5,5.5,5.5,5.5,5.5,4
"Too many people will bring great burden to society, so I think a government should be allowed to limit the number of children a family can have.
In the first place, too many children will put pressure on the family's ability to support, and each child will not be able to enjoy the resources or educational resources of sufficient love.Second, too many people will make everyone's living resources inadequate. Oil, water, medical resources, and even living conditions can be very stressful.In addition, too many people will make employment difficult. If too many people can not find jobs, then social stability will not be guaranteed and social crime rates will rise.
In summary, I think a government should be allowed to limit the number of children a family can have.
",6,5.5,6,6.5,7,4.5
"With the increasing of the pWith the increasing of the population, we are facing more and more problems during our life. So it is nessary to limit the population.
The resources are limited, a person must own enough resources to support his life. However, with the increasing of population, the resource belongs to everyone becomes less and less. Not only the resources are little, we can not assign the resource averagely, which can cause lots of other problems like someone can not be educated well or someone is always hungry.
The high-level population also can cause a lot of social problem. The people who do not have a right thought may do something illegal. Besides, to those who can not be educated, it is unfair.
To a family, to adopt a child, they need pay a lot for his life. Not only the money, but also the love. If a normal family have three or four children, it is really a disease.
It is nessary to limit population.
opulation, we are facing more and more problems during our life. So it is nessary to limit the population.
The resources are limited, a person must own enough resources to support his life. However, with the increasing of population, the resource belongs to everyone becomes less and less. Not only the resources are little, we can not assign the resource averagely, which can cause lots of other problems like someone can not be educated well or someone is always hungry.
The high-level population also can cause a lot of social problem. The people who do not have a right thought may do something illegal. Besides, to those who can not be educated, it is unfair.
To a family, to adopt a child, they need pay a lot for his life. Not only the money, but also the love. If a normal family have three or four children, it is really a disease.
It is nessary to limit population.
With the increasing of the population, we are facing more and more problems during our life. So it is nessary to limit the population.
The resources are limited, a person must own enough resources to support his life. However, with the increasing of population, the resource belongs to everyone becomes less and less. Not only the resources are little, we can not assign the resource averagely, which can cause lots of other problems like someone can not be educated well or someone is always hungry.
The high-level population also can cause a lot of social problem. The people who do not have a right thought may do something illegal. Besides, to those who can not be educated, it is unfair.
To a family, to adopt a child, they need pay a lot for his life. Not only the money, but also the love. If a normal family have three or four children, it is really a disease.
It is nessary to limit population.
",4,4,5.5,5,6,3
"With time flies, there are more and more people on the globe. So, how to control the increase of popularity becomes a urge and troublesome question.
Well, an another question is raised--why should we control the number of people ? Firstly, there is limited resource on the earth, so our environment don't admit an endless increase. Secondly, if there are too many people, everyone will face bigger challenges whether in housing, working, eating or in medical treatment. Then, this may also cause wars between different countries for contesting resource. 
Therefore more and more countries' governments take some politics on this question. Just take our country China as an example, in 1971, China carried out a policy--family planning which encourage one couple to bring up one child and this policy was written in constitution in 1980. From the view of today, this is a good policy, it decreases the press of economy of families and helpful to national's economical level. Meanwhile, it makes our society appear more talents who receive higher education. It also speeds the accumulation of fund in our country. 
But there are some disadvantages, such as the high percent of the old, teenagers will more stress on supporting their older parents, and if an old couple's child happen to die in an accident. The parents' life will become a huge trouble.
As a matter of fact, in 2011, our government did some adjustments on this policy. One couple can have two children. This adjustment is helpfully make up for the loophole of the regional one. It is enough proper. I'm really in favor of it. Two child can help each other and face somethings and stress together.
",5.5,6,6.5,7,7,4.5
"Two thousand years ago, in the age of augustus, there were about 200 million people in the world, up to 300 million. It is important that humans have used the entire 19th century to increase the global population to 1.6 billion in 1900. But after that, The world population almost exploded.
The population explosion inevitably leads to urbanization and deteriorating living conditions. Lack of clean water, Mass panic and air and water pollution and so on. These are the problems of population explosion.
We will have to face this pressure, partly regional and partly transnational, immigration pressures. Rich Europe and North America will be the main targets of continental immigration. As a whole, European governments and parliaments and European societies have faced this extraordinarily difficult problem today: How many immigrants do they believe in? What type of immigration are they willing to accept in terms of nationality, language, religion and skills? What can be done to stop unwelcome immigrants?
In summary, something can be sure: The wave of migration will increase dramatically in the near future, In Africa and parts of Asia, population pressures will further lead to limited regional conflicts, civil wars and wars.
",4.5,4.5,5.5,5.5,5,3
"Nowadays, it's common to see that a family contains 3 members, including a father ,a mother and a child. According to the policy of one child, most Chinese families only have one and if you broke the limitation, you will meet the punishment of money.
But is it really correct for government to control the number of a family? As we all know, one person is alone, which means you must solve all the problems without others' help and when your parents are old, all the responsibilities need to be taken by yourself, meanwhile you have your own family accompanying with new challenges. 
However, China is a country with a large number of population, which results to some serious troubles. One of the troubles is the imbalance of enormous population and short land resource. The resources are limited, therefore, it's necessary for government to introduce policy of population.
In my opinion, I expect that our government could exchange the policy based on our true life. I know that our country is gradually open the two children policy, it's really good.
",6.5,5.5,6,6,6,4
"To tell you the truth, I didn't understand or think about the basic human rights until I saw the composition topic. So I searched for relevant information about basic human rights. And I found that it contains twelve basic rights. When it comes to the population explosion, it's a difficult problem all over the world right now. The resources of the earth are limited, and the population exceeds the carrying capacity of the land, which will cause many problems. Among them, the social security rights in the basic human rights will suffer a lot of negative impact. In my opinion, the continuous growth of the population is the inevitable course of human development. However, the population can not be over increased. We should improve the current basic human rights assurance system. The control of the population seems to be a limitation of human rights, but it is really for better protection of human rights.",4,4,3,4.5,4,3
"With the universal two-child policy allowed, many babies were born for the reason that the parents want to get another baby. But what makes the government allows this policy?
As you know, the single-child policy starts in 80s in the last century to slow the population growth rate. Then it leads to the ageing of the population, which means the rate of the elders becomes higher. Thus, the two-child policy has to be taken to increase the number of the young man.
However, every coin has two sides. The increasing rate of the young man means that there would be more competition for the youth to live in.
In my opinion, the policy will make our country more active, and more competive.
",5,4,5,5,4,3
